"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","SD","FactorMean","NumGenes","dS","Variable","source","pi4","pi0","pi04","GroupingVariable","MutationRate","Ne"
"length10polcounts8","length10polcounts","length10polcounts8_718.778783958603_PolyDFE.output","718.778783958603","0.368124545770164","0.28719209098415","0.161206210826943","0.183462995268743","1.41428869284699e-05","1.42630715016523e-08","0.27506836576","-190.4749603","1.415715e-05","0.14492120827","7.9e-05","9.42662e-06","9e-05","Length","36.5498401685568","718.455368693402","773","0.149929231084135","718.778783958603","PolyDFE.input","0.00614512147959002","0.00176626291389795","0.287425223368536","length10polcounts","2.41821340458282e-08","63529.5614103394"
"length10polcounts9","length10polcounts","length10polcounts9_874.532775453278_PolyDFE.output","874.532775453278","0.485493275675743","0.193925269036744","0.121567542157247","0.198921649660266","8.799029839901e-05","4.27317160101026e-06","0.20731363855","-762.82616568","9.226347e-05","0.32548989767","0.000532","0.00012928254","0.00017","Length","60.0980676373895","874.114206128134","718","0.143929368365155","874.532775453278","PolyDFE.input","0.00534377418762299","0.00147230961463003","0.275518680793086","length10polcounts","2.32144142524444e-08","57548.0187601581"
"NetworkConnectivity10polcounts1","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts1_1.74883286647993_PolyDFE.output","1.74883286647993","0.33458973313467","0.277845948756187","0.166767305701799","0.220733081067344","6.26901550708769e-05","1.24118492916825e-06","0.24550508239","-171.41223482","6.393134e-05","0.25369486377","0.000317","0.00501531781","9e-05","Connectivity","0.759938987411541","1.74789915966387","1071","0.168228835029364","1.74883286647993","PolyDFE.input","0.00662617797453513","0.0021439181989246","0.323552764076641","NetworkConnectivity10polcounts","2.71336830692523e-08","61051.22144332"
"NetworkConnectivity10polcounts10","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts10_358.340864440079_PolyDFE.output","358.340864440079","0.604990946122022","0.201658501774315","0.0993775402595786","0.0939361899740839","3.60307744414756e-05","7.91095558505539e-07","0.31377944451","-837.10938655","3.682187e-05","0.2603876122","0.00042","0.00127857856","9e-05","Connectivity","164.389686087708","357.774951076321","1022","0.147110798697826","358.340864440079","PolyDFE.input","0.00549784555987015","0.000870749340673839","0.158380102022074","NetworkConnectivity10polcounts","2.37275481770687e-08","57926.8190590325"
"NetworkConnectivity10polcounts2","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts2_4.94140625_PolyDFE.output","4.94140625","0.386057247062854","0.251921732405418","0.151472554249271","0.210525050252457","2.33622419104629e-05","5.37880895379317e-08","0.23608032735","-259.31082387","2.341603e-05","0.16457860171","0.000117","0.0001759301","9e-05","Connectivity","1.19629725773885","4.93450635386119","1023","0.16748509912693","4.94140625","PolyDFE.input","0.00674917556687156","0.00209582365596755","0.310530321103948","NetworkConnectivity10polcounts","2.70137256656339e-08","62460.614007953"
"NetworkConnectivity10polcounts3","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts3_9.87664307381193_PolyDFE.output","9.87664307381193","0.403037657404599","0.273660396982144","0.151586692974933","0.171474416888324","0.000159756271938982","8.10794780610191e-05","0.27606184797","-238.53010673","0.00024083575","0.91853910112","0.002114","0.01231088164","0.0019","Connectivity","1.78297799480843","9.86161616161616","990","0.158365204346906","9.87664307381193","PolyDFE.input","0.00684364355910248","0.00181192831260596","0.264760766243587","NetworkConnectivity10polcounts","2.55427748946623e-08","66982.1856408074"
"NetworkConnectivity10polcounts4","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts4_16.5445344129555_PolyDFE.output","16.5445344129555","0.444637654410319","0.247512269137319","0.13934636480359","0.168438492448771","5.88185471188662e-05","6.40065288115554e-06","0.26242923718","-341.57108541","6.52192e-05","0.43078308624","0.000461","0.00158977753","0.00043","Connectivity","2.35318285502315","16.5408678102926","991","0.155681117362438","16.5445344129555","PolyDFE.input","0.00680785411040636","0.0017216085862247","0.252885646241021","NetworkConnectivity10polcounts","2.51098576391029e-08","67780.692031928"
"NetworkConnectivity10polcounts5","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts5_27.3945578231293_PolyDFE.output","27.3945578231293","0.459183114213245","0.23015468268979","0.133804659158231","0.176810247868733","4.62761077548723e-05","1.01996224510792e-06","0.24515590574","-427.28294571","4.729607e-05","0.26064326386","0.000294","1.700932e-05","0.00041","Connectivity","3.95620597095748","27.3945578231293","1029","0.160410124404459","27.3945578231293","PolyDFE.input","0.00636728108429404","0.00168263101887518","0.264262091872412","NetworkConnectivity10polcounts","2.58726007103966e-08","61525.3290108502"
"NetworkConnectivity10polcounts6","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts6_42.6734475374732_PolyDFE.output","42.6734475374732","0.4450557911549","0.275307391023577","0.141632195071439","0.137921041030084","7.3356383440415e-05","1.02253365595883e-05","0.307867698","-273.4675328","8.358172e-05","0.47597374514","0.000727","0.00260001836","0.00059","Connectivity","4.85099577706833","42.6555793991416","932","0.158812614553846","42.6734475374732","PolyDFE.input","0.00718364072748092","0.0016213330921435","0.225697964813456","NetworkConnectivity10polcounts","2.56149378312655e-08","70111.8305927782"
"NetworkConnectivity10polcounts7","NetworkConnectivity10polcounts","NetworkConnectivity10polcounts7_62.546499477534_PolyDFE.output","62.546499477534","0.516673698567662","0.209753491710758","0.119636484750279","0.153766168861301","0.000137223165216693","3.29329447833482e-05","0.250239373","-657.68880893","0.00017015611","0.60892336076","0.001446","0.01844623141","0.00089","Connectivity","7.0150181388425","62.4942528735632","957","0.16019699833218","62.546499477534","PolyDFE.input","0.00642584839102859","0.00148266546927885","0.230734586167464","NetworkConnectivity10polcounts","2.58382255374484e-08","62173.8553767494"
