"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","dS","dN","MutationRate","Ne"
"DensityGeneWindowpolcounts19","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts19_41.3556212121212_PolyDFE.output","41.3556212121212","0.453841798179651","0.233544956675362","0.13539348730496","0.177184057010027","3.47531841156101e-05","9.47645884430415e-07","0.24700551651","-404.34930041","3.570083e-05","0.27556192889","0.000223","0.00013736265","9e-05","Gene density per 100kb","41.3556212121212","PolyDFE.input","0.0060535421521779","0.00154809165274093","0.255733191216644","DensityGeneWindowpolcounts","0.609079672828109","41.3344140030441","657","0.15564681292176","0.0301332924156479","2.51043246648e-08","60283.857791501"
"DensityGeneWindowpolcounts2","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts2_25.3386363636364_PolyDFE.output","25.3386363636364","0.450368426905014","0.273425057978496","0.140187307278065","0.135894991638425","9.64831844175729e-05","2.7733015582454e-05","0.30884392051","-281.80061615","0.0001242162","0.66693344269","0.001206","0.01628942058","0.00032","Gene density per 100kb","25.3386363636364","PolyDFE.input","0.00743011119655477","0.00168373314830756","0.226609414552004","DensityGeneWindowpolcounts","0.58559624778278","25.3386363636364","440","0.164278631027778","0.0287620129722222","2.64965533915771e-08","70104.5064875938"
"DensityGeneWindowpolcounts20","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts20_46.0833333333333_PolyDFE.output","46.0833333333333","0.441427972114971","0.251222082857895","0.140488773790642","0.166701865156492","0.00012260626492322","3.66998150768127e-05","0.26613565384","-326.74591707","0.00015930608","0.68117307984","0.001288","0.01026818149","0.00027","Gene density per 100kb","46.0833333333333","PolyDFE.input","0.00607073512335636","0.00153042326418977","0.252098507526983","DensityGeneWindowpolcounts","5.5390540226044","46.0555555555556","666","0.159640944401639","0.0304588316038251","2.57485394196192e-08","58942.5192670418"
"DensityGeneWindowpolcounts3","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts3_27.0627906976744_PolyDFE.output","27.0627906976744","0.40945589250655","0.288671573535989","0.15137249969771","0.15046520569975","3.31544279967844e-05","1.67413200324873e-06","0.3035773436","-222.30202096","3.482856e-05","0.32947377692","0.000258","0.00095135296","8e-05","Gene density per 100kb","27.0627906976744","PolyDFE.input","0.00800962235361434","0.00201127490756211","0.251107333001103","DensityGeneWindowpolcounts","0.48439248593519","27.0606060606061","429","0.167801789223529","0.0304647089843137","2.70648047134724e-08","73985.5916051307"
"DensityGeneWindowpolcounts4","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts4_28_PolyDFE.output","28","0.462076714363094","0.2362254669912","0.134213719430086","0.16742653861562","5.41971922124462e-05","3.36340778750444e-06","0.2561689777","-404.66096735","5.75606e-05","0.35212710541","0.000394","0.00444629938","1e-04","Gene density per 100kb","28","PolyDFE.input","0.00712547760086855","0.00177510296032372","0.249120558614534","DensityGeneWindowpolcounts","0","28","494","0.163628456724359","0.0284596030224359","2.6391686568445e-08","67497.3687489536"
"DensityGeneWindowpolcounts5","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts5_28.916820702403_PolyDFE.output","28.916820702403","0.452929276068118","0.253324309264291","0.138242636846367","0.155395309121225","9.53953657056861e-05","1.30733342943445e-05","0.27707733585","-333.68400625","0.0001084687","0.47261502057","0.000845","0.00261188337","0.00061","Gene density per 100kb","28.916820702403","PolyDFE.input","0.00659466951466244","0.00160038290413798","0.242678257125657","DensityGeneWindowpolcounts","0.278946860757475","28.9151291512915","542","0.165797023412541","0.0318929596732673","2.67414553891195e-08","61652.1185805173"
"DensityGeneWindowpolcounts6","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts6_29.9305019305019_PolyDFE.output","29.9305019305019","0.424104808100198","0.257526416966097","0.144990175340689","0.173278630013015","8.90557126637104e-05","1.09138673363152e-05","0.26479249118","-290.95393691","9.996958e-05","0.45150156921","0.000694","6.028049e-05","0.00068","Gene density per 100kb","29.9305019305019","PolyDFE.input","0.00684402111011435","0.00180690388643541","0.264012027047243","DensityGeneWindowpolcounts","0.25454502779695","29.9305019305019","518","0.164508473144928","0.0298573047934783","2.65336247007948e-08","64484.4154096042"
"DensityGeneWindowpolcounts7","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts7_30.7939393939394_PolyDFE.output","30.7939393939394","0.389144241472265","0.293225178740869","0.156784439683156","0.16075075926371","7.88789753827235e-05","1.65018646173243e-05","0.29695875828","-200.79866799","9.538084e-05","0.56999403062","0.000749","0.00825508192","9e-05","Gene density per 100kb","30.7939393939394","PolyDFE.input","0.00708736520309852","0.00180258602597734","0.254337962602699","DensityGeneWindowpolcounts","0.405797242862538","30.7926829268293","492","0.165326250210317","0.0341086524087302","2.66655242274705e-08","66446.8954617176"
"DensityGeneWindowpolcounts8","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts8_31.4867617107943_PolyDFE.output","31.4867617107943","0.421604404474785","0.298348381212969","0.148319377864573","0.131552756677673","0.000119329154252279","5.57506157476961e-05","0.32931193098","-218.98855424","0.00017507977","0.87385604544","0.001925","0.01402927089","0.00071","Gene density per 100kb","31.4867617107943","PolyDFE.input","0.00708925220342944","0.0015883444093887","0.224049640753412","DensityGeneWindowpolcounts","0.500210216532306","31.4827586206897","493","0.155018220201439","0.0274137215359712","2.50029387421676e-08","70884.1896200124"
"DensityGeneWindowpolcounts9","DensityGeneWindowpolcounts","DensityGeneWindowpolcounts9_32_PolyDFE.output","32","0.438375981069384","0.20770388706521","0.132054759373838","0.221686934541568","0.000160057124879986","1.83808251200679e-05","0.20320657937","-514.66140826","0.00017843795","0.43996019154","0.000979","0.00032250551","0.00077","Gene density per 100kb","32","PolyDFE.input","0.00567093326219377","0.00179276018434502","0.316131419901687","DensityGeneWindowpolcounts","0","32","546","0.151213172983165","0.0298825653097643","2.43892214488976e-08","58129.5027608405"
"fpkmpolcounts1","fpkmpolcounts","fpkmpolcounts1_564.553186829096_PolyDFE.output","564.553186829096","0.0577278381653861","0.410352002098758","0.296871412301962","0.234819174923894","0.000222108020310308","7.46448968969027e-06","0.37004250309","-25.208234421","0.00022957251","0.29188031073","0.001046","0.00857011517","8e-05","Expression level","564.553186829096","PolyDFE.input","0.00673352767377393","0.00272945657584349","0.40535313851524","fpkmpolcounts","175.940321269584","564.553186829096","649","0.186063250978992","0.058793107092437","3.00102017708052e-08","56093.6554608949"
"fpkmpolcounts10","fpkmpolcounts","fpkmpolcounts10_232630.121301488_PolyDFE.output","232630.121301488","0.498636540178363","0.208001354951102","0.122591138880174","0.170314813220361","0.000243814549775845","0.000212338220224151","0.23574961382","-641.4822932","0.00045615277","1.30779233472","0.004848","0.00348383661","6e-04","Expression level","232630.121301488","PolyDFE.input","0.00590615975979214","0.00143347301436193","0.242708133992701","fpkmpolcounts","19699.8268346561","232824.712772563","522","0.158434598903509","0.0319449335847953","2.55539675650821e-08","57781.2402785403"
"fpkmpolcounts11","fpkmpolcounts","fpkmpolcounts11_301124.578454271_PolyDFE.output","301124.578454271","0.483511347626029","0.234584545603644","0.129601390572386","0.152252704467941","4.84090310096663e-05","1.60269899029952e-06","0.26796123909","-440.49132556","5.001173e-05","0.29064964111","0.000364","2.49068e-05","9e-05","Expression level","301124.578454271","PolyDFE.input","0.00587442062854632","0.00142410420152904","0.24242462220167","fpkmpolcounts","20120.1061240376","301453.279097485","529","0.151333729541667","0.0274553451666667","2.44086660551076e-08","60167.3665337098"
"fpkmpolcounts12","fpkmpolcounts","fpkmpolcounts12_368454.159216744_PolyDFE.output","368454.159216744","0.49366797341482","0.244556134292927","0.128166283357821","0.133550447414433","5.31819677268563e-05","5.97955227310543e-06","0.29282040504","-408.17093479","5.916152e-05","0.43631433073","0.000524","0.01002777126","1e-04","Expression level","368454.159216744","PolyDFE.input","0.00590131265753182","0.00127091695041011","0.215361738000451","fpkmpolcounts","19543.9180762834","368656.548520459","501","0.151184199770588","0.0258373948705882","2.43845483500948e-08","60502.5831605045"
"fpkmpolcounts13","fpkmpolcounts","fpkmpolcounts13_444765.639958674_PolyDFE.output","444765.639958674","0.551376173793939","0.188263979818003","0.109777566974232","0.150399138243826","0.000156422816813384","2.67183531865722e-05","0.23820016143","-1010.8793537","0.00018314117","0.51950573597","0.001527","0.00637123357","0.00012","Expression level","444765.639958674","PolyDFE.input","0.00551349296989366","0.00123921153668678","0.224759792649319","fpkmpolcounts","25560.5139285779","444932.287499524","511","0.152699453324405","0.0259036001815476","2.46289440845814e-08","55965.5841411538"
"fpkmpolcounts14","fpkmpolcounts","fpkmpolcounts14_552808.939348135_PolyDFE.output","552808.939348135","0.494237206629627","0.238367166994433","0.127608945811686","0.139707667224254","7.15855911994634e-05","7.42774880058139e-06","0.2823627375","-435.73691713","7.901334e-05","0.42294137665","0.000666","0.0096646467","0.00031","Expression level","552808.939348135","PolyDFE.input","0.00545657172993671","0.00120846256659259","0.221469198317788","fpkmpolcounts","36684.5276772136","553162.44209894","566","0.154959648443243","0.0253480917864865","2.4993491684394e-08","54579.9262347945"
"fpkmpolcounts15","fpkmpolcounts","fpkmpolcounts15_687737.459218445_PolyDFE.output","687737.459218445","0.576246815213387","0.174539379816452","0.102993886768757","0.146075985551405","0.000125997366397734","1.79352836022773e-05","0.23186479474","-1392.9332465","0.00014393265","0.48017465492","0.001213","0.00066527459","0.00031","Expression level","687737.459218445","PolyDFE.input","0.00553043941518878","0.0011756620332635","0.212580221028128","fpkmpolcounts","46611.5459131528","688128.990564986","567","0.156253312964865","0.0255643373","2.52021472523976e-08","54860.7957865837"
