"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","SD","FactorMean","NumGenes","dS","Variable","source","pi4","pi0","pi04","GroupingVariable","MutationRate","Ne"
"fpkm15polcounts5","fpkm15polcounts","fpkm15polcounts5_53673.3723549152_PolyDFE.output","53673.3723549152","0.402076950599589","0.269085829751459","0.151270244432342","0.17752858776661","3.58531310310495e-05","2.53431896890532e-06","0.26856677606","-245.10513835","3.838745e-05","0.36794389843","0.000249","0.01097571652","0.00055","Expression level","11451.061764905","53720.7026747927","670","0.159755967796345","53673.3723549152","PolyDFE.input","0.00686887941989983","0.00186637718184405","0.2717149432609","fpkm15polcounts","2.57670915800556e-08","66643.9147639048"
"fpkm15polcounts6","fpkm15polcounts","fpkm15polcounts6_104549.76196813_PolyDFE.output","104549.76196813","0.395301061668112","0.261008658522978","0.151452231547352","0.192188909071559","4.71704116536964e-05","1.96877834635067e-06","0.25316744111","-252.36100061","4.913919e-05","0.31082507423","0.000287","0.00434668844","0.00043","Expression level","16811.053116298","104589.898735941","655","0.160751668259169","104549.76196813","PolyDFE.input","0.00671673718338072","0.00191937219251811","0.285759609184535","fpkm15polcounts","2.59276884288982e-08","64764.1343134011"
"fpkm15polcounts7","fpkm15polcounts","fpkm15polcounts7_174352.946217258_PolyDFE.output","174352.946217258","0.447920454528582","0.235616407381913","0.136859150885613","0.179515898893893","8.4103086570364e-05","3.98522342959229e-06","0.24659087178","-387.37763009","8.808831e-05","0.32302386979","0.000556","0.00484730892","4e-04","Expression level","24149.6073402902","174232.543507781","697","0.153648159017937","174352.946217258","PolyDFE.input","0.00628582009173713","0.00166831025214286","0.265408527096711","fpkm15polcounts","2.47819611319253e-08","63411.2455656247"
"fpkm15polcounts8","fpkm15polcounts","fpkm15polcounts8_266877.32906429_PolyDFE.output","266877.32906429","0.498457012917737","0.206390285578831","0.122369530701614","0.172655663261817","0.000116948263929828","1.05592760701878e-05","0.23294008437","-656.57243307","0.00012750754","0.40141768231","0.000874","3.839865e-05","0.00058","Expression level","28095.9809371286","266747.718721339","747","0.154303642721212","266877.32906429","PolyDFE.input","0.00540908353607023","0.00136062644251257","0.251544727205504","fpkm15polcounts","2.48876843098729e-08","54334.9420211472"
"fpkm15polcounts9","fpkm15polcounts","fpkm15polcounts9_358436.717713294_PolyDFE.output","358436.717713294","0.474049959611466","0.256952428832711","0.133581451655924","0.135399365579899","1.66344384273653e-05","1.59881572647791e-07","0.29888315081","-344.76526686","1.679432e-05","0.21485218853","0.000131","0.00782190783","9e-05","Expression level","25119.2987040136","358365.589345193","657","0.151468475226457","358436.717713294","PolyDFE.input","0.00606113511924364","0.00135169400982929","0.223010044032473","fpkm15polcounts","2.44303992300737e-08","62024.5197608397"
"length15polcounts1","length15polcounts","length15polcounts1_165.930902111324_PolyDFE.output","165.930902111324","0.428435168830575","0.247658800993565","0.142640701181388","0.181192001734473","6.75542642947224e-05","5.77299570525547e-06","0.25280138813","-321.25636282","7.332726e-05","0.39343106966","0.000474","0.0045622044","8e-05","Length","39.1153953151209","165.957188498403","1565","0.174341977556842","165.930902111324","PolyDFE.input","0.0081561372622905","0.00220803180938995","0.270720285642896","length15polcounts","2.81196737994906e-08","72512.7300591076"
"length15polcounts10","length15polcounts","length15polcounts10_604.413237924866_PolyDFE.output","604.413237924866","0.488327743602215","0.22482427163701","0.127367491302398","0.159450166678377","2.96000855163348e-05","7.2669448369922e-07","0.25538721697","-499.29730471","3.032678e-05","0.26800452504","0.000209","4.443318e-05","0.00131","Length","14.8494832381663","604.176785714286","560","0.152814967875","604.413237924866","PolyDFE.input","0.00711645617407697","0.00169946130888374","0.238807247218685","length15polcounts","2.46475754637097e-08","72182.1116295497"
"length15polcounts11","length15polcounts","length15polcounts11_662.52380952381_PolyDFE.output","662.52380952381","0.38855969740218","0.274618024837951","0.154960872477293","0.181818146342576","4.26486223172873e-05","6.10317682725459e-07","0.26870022775","-223.61902922","4.325894e-05","0.23468781778","0.000256","1.336872e-05","7e-05","Length","18.6599583899629","662.211832061069","524","0.154613881613861","662.52380952381","PolyDFE.input","0.00685514716757661","0.00189420917932049","0.276319258072196","length15polcounts","2.49377228409453e-08","68722.665771242"
"length15polcounts12","length15polcounts","length15polcounts12_740.164031620553_PolyDFE.output","740.164031620553","0.392124210420477","0.268565854505711","0.153324410846874","0.185948385356939","3.65380124660586e-05","6.00857533950006e-07","0.26205530325","-236.15800056","3.713887e-05","0.24247940717","0.000216","9.522137e-05","9e-05","Length","25.703769285582","739.729783037475","507","0.150760774003704","740.164031620553","PolyDFE.input","0.00599852533449467","0.00171445200884957","0.285812247718713","length15polcounts","2.43162538715652e-08","61671.9722348885"
"length15polcounts13","length15polcounts","length15polcounts13_841.320641282565_PolyDFE.output","841.320641282565","0.466903165906971","0.19643969373148","0.124871656441041","0.211578998910508","0.000175816541203133","3.06684687968461e-05","0.20164248824","-682.4831849","0.00020648501","0.52438583785","0.001239","0.00040923785","0.00025","Length","35.476903360701","840.684738955823","498","0.144960991224638","841.320641282565","PolyDFE.input","0.00532929874011423","0.00155021753014087","0.290885838031974","length15polcounts","2.33808050362319e-08","56983.6959404917"
"length15polcounts14","length15polcounts","length15polcounts14_998.301369863014_PolyDFE.output","998.301369863014","0.483683983846806","0.218224974748451","0.127199180806175","0.170857988068568","3.37541585204715e-05","1.18371479507218e-07","0.24200921678","-533.87850511","3.387253e-05","0.17678677149","0.000209","2.074429e-05","0.00041","Length","56.4386918897317","997.434090909091","440","0.137598301766187","998.301369863014","PolyDFE.input","0.00510854351686965","0.00129784432819246","0.254053689453102","length15polcounts","2.21932744784173e-08","57546.0768738482"
"length15polcounts15","length15polcounts","length15polcounts15_1557.25626740947_PolyDFE.output","1557.25626740947","0.440214894536226","0.196627032252648","0.128491242006411","0.234547971754715","0.000118244963052461","6.14486947547732e-07","0.18991717328","-606.19348355","0.00011885945","0.18993679553","0.000544","0.0001475274","0.00018","Length","573.834727747826","1556.02222222222","360","0.120312382626263","1557.25626740947","PolyDFE.input","0.00372055602187986","0.00122836900781174","0.330157374485948","length15polcounts","1.9405223004236e-08","47932.4048616666"
"length15polcounts2","length15polcounts","length15polcounts2_257.781867145422_PolyDFE.output","257.781867145422","0.455750596955968","0.251323427652793","0.137414491383003","0.155412582838236","8.32832607722267e-05","1.5617909227772e-05","0.27580388845","-342.78001804","9.890117e-05","0.54179904146","0.000798","0.00074369121","0.00015","Length","19.1962027836763","257.644464446445","1111","0.161848008549853","257.781867145422","PolyDFE.input","0.00755029616749273","0.00182841375463531","0.24216450773248","length15polcounts","2.61045175080408e-08","72308.3290580553"
"length15polcounts3","length15polcounts","length15polcounts3_314.469537815126_PolyDFE.output","314.469537815126","0.446814761868817","0.252936211749665","0.139565775035398","0.16065352696612","2.86909589375384e-05","1.03342106250182e-06","0.27224137914","-328.03959614","2.972438e-05","0.2976994206","0.000205","0.00427182855","9e-05","Length","13.644655228483","314.192429022082","951","0.16514123458042","314.469537815126","PolyDFE.input","0.00756856351011803","0.00188547216807369","0.249118893638548","length15polcounts","2.66356829968419e-08","71037.8208718676"
"length15polcounts4","length15polcounts","length15polcounts4_358.009111617312_PolyDFE.output","358.009111617312","0.421231726160128","0.282340965392075","0.148016876793911","0.148292092133886","8.90030846780743e-05","2.93364353218806e-05","0.30175867518","-241.00236042","0.00011833952","0.71698592872","0.001082","0.01649100219","0.00042","Length","11.4235597897527","357.829931972789","882","0.163408291256809","358.009111617312","PolyDFE.input","0.00724567535176034","0.00175313883299799","0.241956580703283","length15polcounts","2.63561760091627e-08","68728.4391070367"
"length15polcounts5","length15polcounts","length15polcounts5_397.056019070322_PolyDFE.output","397.056019070322","0.440651317959464","0.261025316937976","0.141783662648429","0.156524950394131","1.4594067385354e-05","1.57992614657765e-07","0.28088248326","-300.30901763","1.475206e-05","0.22042989578","1e-04","0.00051671487","8e-05","Length","12.4171483197004","396.947619047619","840","0.163033770242171","397.056019070322","PolyDFE.input","0.00698704304151567","0.00170941758920699","0.244655368379722","length15polcounts","2.62957693938985e-08","66427.4444384283"
"length15polcounts6","length15polcounts","length15polcounts6_442.08655126498_PolyDFE.output","442.08655126498","0.448342350878896","0.250802186885092","0.138987016950615","0.161830149865398","3.71138166013196e-05","1.18160339868112e-06","0.26990955957","-335.97233107","3.829542e-05","0.28748370866","0.000261","1.627157e-05","9e-05","Length","12.5452271570292","441.98406374502","753","0.163884920373576","442.08655126498","PolyDFE.input","0.00686865064940099","0.00169968873924703","0.247455988956909","length15polcounts","2.64330516731574e-08","64962.7097008256"
