"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","MutationRate","dnds","Ne"
"avgConnec19","avgConnec","avgConnec19_0.437633618512596_PolyDFE.output","0.437633618512596","0.622573396329688","0.185203898304173","0.0946678076176013","0.0970289930785379","3.84916799144319e-05","0.000487412990085589","0.29594795123","-1125.4096857","0.00052590467","13.156480772","0.0594794933693322","0.00015643387","0.00053","Connectivity","0.437633618512596","PolyDFE.input","0.00967349899217371","0.00158629230525404","0.163983301857727","avgConnec","0.00470809296803652","0.437633618512596","375","1.00320269360269e-08","0.175945566164642","241065.416138246"
"avgConnec2","avgConnec","avgConnec2_0.182111655172243_PolyDFE.output","0.182111655172243","0.567208997231969","0.193051600711588","0.107482278262084","0.131984609594359","0.000169057385639326","0.000103456814360636","0.25894143941","-948.92729543","0.0002725142","1.03248566458","9.82794106011727e-05","0.01347711796","0.00012","Connectivity","0.182111655172243","PolyDFE.input","0.0126631546180668","0.00261619595214884","0.20659906879888","avgConnec","0.008791381980652","0.182111655172243","512","1.16915838068182e-08","0.229097515573274","270775.004210338"
"avgConnec20","avgConnec","avgConnec20_0.464282070252087_PolyDFE.output","0.464282070252087","0.61412689280148","0.188740564707171","0.096855130913439","0.0999410629679098","0.000246418023086226","8.99305869137557e-05","0.29452108209","-1054.0441427","0.00033634861","0.75808687145","3.04909280346053e-05","0.01111099981","9e-05","Connectivity","0.464282070252087","PolyDFE.input","0.0087150469210719","0.00149702620716012","0.171774887813914","avgConnec","0.0122096972683199","0.464282070252087","404","9.39403940394039e-09","0.173167711283426","231930.231137212"
"avgConnec3","avgConnec","avgConnec3_0.206915601778174_PolyDFE.output","0.206915601778174","0.547452174008408","0.23251391523153","0.113872192375237","0.104476772194825","0.000183094012715879","0.00150185217728416","0.32071991127","-516.68065472","0.00168494619","8.69304446226","0.102596414889516","0.00026604225","0.00152","Connectivity","0.206915601778174","PolyDFE.input","0.0133782605419255","0.00247362583896051","0.184898913517832","avgConnec","0.00638621682346478","0.206915601778174","484","1.17292136238417e-08","0.223465162261241","285148.283827225"
"avgConnec4","avgConnec","avgConnec4_0.227773782923063_PolyDFE.output","0.227773782923063","0.565092948245262","0.225318491434115","0.109633457554192","0.0997937956364312","0.000119782739121499","4.15243908784557e-05","0.32246020019","-578.68345143","0.00016130713","0.73690381853","1.23829739539291e-05","0.01721125854","9e-05","Connectivity","0.227773782923063","PolyDFE.input","0.0129283096978697","0.00227041716741573","0.175615932822978","avgConnec","0.00580025699638708","0.227773782923063","515","1.11944297342356e-08","0.197443732764946","288721.935927014"
"avgConnec5","avgConnec","avgConnec5_0.246114415233842_PolyDFE.output","0.246114415233842","0.588177801482379","0.209185609435372","0.100194287403582","0.0891138247186666","0.00192225283023884","0.0114062241297611","0.3276691007","-709.79057399","0.01332847696","6.42080594283","0.380252451411024","0.00137623511","0.00568","Connectivity","0.246114415233842","PolyDFE.input","0.0126594714248668","0.00228209182675533","0.18026754436782","avgConnec","0.00486422525559433","0.246114415233842","496","1.08907828282828e-08","0.203550176739991","290600.584560157"
"avgConnec6","avgConnec","avgConnec6_0.262481772959259_PolyDFE.output","0.262481772959259","0.578044025778137","0.216113197728253","0.104535034867197","0.0944853529864136","0.000590413143347068","0.00623197549665289","0.32400870899","-651.01834381","0.00682238864","11.0477370804","0.392580303697125","0.00021239342","1e-04","Connectivity","0.262481772959259","PolyDFE.input","0.0126920808603543","0.00227690845461182","0.179395993428005","avgConnec","0.00457311005408833","0.262481772959259","498","1.11682893188917e-08","0.211987755095977","284109.779437864"
"avgConnec7","avgConnec","avgConnec7_0.277320185121923_PolyDFE.output","0.277320185121923","0.625611276648499","0.179320392158976","0.0937865258493569","0.101057253153168","0.000128577548137221","9.59746418627283e-05","0.28531358085","-1272.0441438","0.00022455219","1.17643717325","0.000190354185199718","0.00343045477","5e-04","Connectivity","0.277320185121923","PolyDFE.input","0.0129920975385547","0.00214998996263883","0.165484438233212","avgConnec","0.00421231758034614","0.277320185121923","479","1.07011872377217e-08","0.191571456449532","303520.003200149"
"avgConnec8","avgConnec","avgConnec8_0.292132306360686_PolyDFE.output","0.292132306360686","0.59091616779989","0.199489621920971","0.102425420287271","0.105294579691868","0.000716878881398042","0.00115733141860197","0.29537785064","-861.04404689","0.0018742103","2.0743851976","0.0103085063921802","0.00303587391","0.00281","Connectivity","0.292132306360686","PolyDFE.input","0.0127061820404583","0.00227101642045171","0.178733187768008","avgConnec","0.00427900303110864","0.292132306360686","472","1.07765151515152e-08","0.198420339561827","294765.558759313"
"avgConnec9","avgConnec","avgConnec9_0.306301331158975_PolyDFE.output","0.306301331158975","0.597557448192532","0.199889057926267","0.0995394064977176","0.0960886116734831","0.00148440021198404","0.00544107549801598","0.30909749297","-842.52288637","0.00692547571","4.14542136266","0.142794696331319","0.00758310765","0.00051","Connectivity","0.306301331158975","PolyDFE.input","0.0126731348277016","0.00226278068200845","0.178549404924056","avgConnec","0.00377496045731557","0.306301331158975","475","1.07647634237108e-08","0.181472465365798","294319.864006192"
"dnds1","dnds","dnds1_0.0159684937784849_PolyDFE.output","0.0159684937784849","0.836113705199557","0.113036440877972","0.0337789090915911","0.0141869762508805","0.000581775475345325","0.00230219310465463","0.52939312831","-2042.7253361","0.00288396858","4.43842530081","0.287545320550311","1.2825e-07","1e-04","dn/ds","0.0159684937784849","PolyDFE.input","0.0132306992653134","0.000610884315725787","0.046171733139406","dnds","0.0110061033720696","0.0159684937784849","481","1.11389991389991e-08","0.0159684937784849","296945.423466976"
"dnds10","dnds","dnds10_0.142327914216352_PolyDFE.output","0.142327914216352","0.601340789677186","0.207172852330352","0.0995567095081994","0.0893050105342622","0.00028929781035103","0.00233534013964898","0.32568002911","-758.63125121","0.00262463795","8.56271328592","0.167470485138236","0.00137561236","0.00226","dn/ds","0.142327914216352","PolyDFE.input","0.0117607246677309","0.00191860734659179","0.163136830492773","dnds","0.00378096451216948","0.142327914216352","441","1.07056964199821e-08","0.142327914216352","274637.076523569"
"dnds11","dnds","dnds11_0.156025331019841_PolyDFE.output","0.156025331019841","0.597016538712057","0.212079215938409","0.100843291991707","0.0884205521078267","0.000352034278412461","0.00128836697158752","0.33097002137","-705.51030214","0.00164040125","4.13966614932","0.0439153627006545","0.00620760777","0.00017","dn/ds","0.156025331019841","PolyDFE.input","0.0119623372059278","0.00193405914469778","0.161679035743899","dnds","0.00374567696536854","0.156025331019841","429","1.09255021073203e-08","0.156025331019841","273725.113235592"
"dnds12","dnds","dnds12_0.169497380214221_PolyDFE.output","0.169497380214221","0.561537325980511","0.231457205892877","0.108713843182773","0.092025804623839","0.000620464915478181","0.00564535540452182","0.33936127439","-526.40332202","0.00626582032","9.58990111878","0.339079313538079","0.00098051965","0.00084","dn/ds","0.169497380214221","PolyDFE.input","0.011552156414196","0.00206218690209168","0.17851099207396","dnds","0.0045543401372307","0.169497380214221","438","1.05976430976431e-08","0.169497380214221","272517.113186354"
"dnds13","dnds","dnds13_0.185169532538964_PolyDFE.output","0.185169532538964","0.577018897043503","0.212838825466597","0.101525186330023","0.089345581129877","0.00315967320802313","0.0161118368219769","0.33015250299","-658.24528651","0.01927151003","5.58429504108","0.401042658561218","0.00090934018","0.00229","dn/ds","0.185169532538964","PolyDFE.input","0.0109778472215565","0.00212389423273405","0.19347092283845","dnds","0.0048331255886338","0.185169532538964","452","1.05983731116475e-08","0.185169532538964","258951.234918594"
"dnds14","dnds","dnds14_0.203276742721223_PolyDFE.output","0.203276742721223","0.558866323365521","0.205825258137679","0.0914001536248331","0.0701455074619667","0.0737619683924654","7.89017534641445e-07","0.36291118356","-612.79945356","0.07376275741","0.08737000236","0","0.00826016617","0.0029","dn/ds","0.203276742721223","PolyDFE.input","0.0105905734536205","0.00229783387601343","0.216969731249812","dnds","0.004923026361264","0.203276742721223","446","1.08331747973004e-08","0.203276742721223","244401.425523468"
"dnds15","dnds","dnds15_0.222123684353867_PolyDFE.output","0.222123684353867","0.521463775452663","0.21554078712332","0.119439318818059","0.143293192185957","0.00016525916813992","9.76672518601118e-05","0.26363846568","-613.39185303","0.00026292642","1.00978694688","7.83166465680855e-05","0.01046491168","9e-05","dn/ds","0.222123684353867","PolyDFE.input","0.0114213133513711","0.00256964638655743","0.224986943926983","dnds","0.00587589634318025","0.222123684353867","456","1.06229399255715e-08","0.222123684353867","268788.900045404"
"dnds16","dnds","dnds16_0.246376113109755_PolyDFE.output","0.246376113109755","0.521112591990541","0.214644972960807","0.11549150998903","0.129667507739623","0.00941435670653679","0.00966906061346318","0.27700809494","-599.56099404","0.01908341732","1.47082920367","0.023944633694236","0.00629850454","6e-05","dn/ds","0.246376113109755","PolyDFE.input","0.0105678645011933","0.00248475845116672","0.235123988473372","dnds","0.00813153521370439","0.246376113109755","494","1.03789514578988e-08","0.246376113109755","254550.388448698"
"dnds17","dnds","dnds17_0.277472840844418_PolyDFE.output","0.277472840844418","0.455133906239073","0.23922774993974","0.135976516625413","0.169274966845774","0.000303150181590217","8.37101684098007e-05","0.25659875795","-383.23777134","0.00038686035","0.6532944613","9.21264013111769e-06","0.00624297709","0.00083","dn/ds","0.277472840844418","PolyDFE.input","0.0095737144521693","0.00253306558530917","0.264585454053855","dnds","0.0097545534108601","0.277472840844418","486","9.96481273641768e-09","0.277472840844418","240188.017211326"
"dnds18","dnds","dnds18_0.318811319375782_PolyDFE.output","0.318811319375782","0.428461014644495","0.236106868991278","0.140345913641287","0.193913590162939","0.00016871651114081","0.0010038960488592","0.23697148834","-357.29784911","0.00117261256","6.43725417942","0.0295488886053728","0.02085150037","9e-04","dn/ds","0.318811319375782","PolyDFE.input","0.00951446359175344","0.00279252650936251","0.293503304987462","dnds","0.0144097692050896","0.318811319375782","504","9.70452541285875e-09","0.318811319375782","245103.7837241"
"dnds19","dnds","dnds19_0.385697836905427_PolyDFE.output","0.385697836905427","0.392575578199645","0.234011580506037","0.138080736215909","0.18540488970841","0.0219416961602993","0.0279855192097007","0.24233716712","-305.75186042","0.04992721537","1.72747658642","0.0617493558486583","0.00014900311","0.00044","dn/ds","0.385697836905427","PolyDFE.input","0.0092454243536844","0.00318748170775438","0.34476315913873","dnds","0.0271956378866444","0.385697836905427","523","9.80867952952083e-09","0.385697836905427","235643.96017473"
"dnds2","dnds","dnds2_0.0392488226892314_PolyDFE.output","0.0392488226892314","0.804831619519266","0.124178117363309","0.0448947583888034","0.0251225358686213","0.000159231289324824","0.000813737570675155","0.44537680688","-2282.332706","0.00097296886","5.59552757082","0.122833547594669","0.00391012124","6e-04","dn/ds","0.0392488226892314","PolyDFE.input","0.0136163956724793","0.000824011771661415","0.0605161447626599","dnds","0.00456867833768762","0.0392488226892314","403","1.15981903401259e-08","0.0392488226892314","293502.591205353"
"dnds20","dnds","dnds20_0.608577440407029_PolyDFE.output","0.608577440407029","0.37896611235707","0.163851530556236","0.121161816108884","0.335495111937811","0.000419996344632079","0.000105432695367891","0.13398710501","-742.97839073","0.00052542904","0.62260981758","6.03873440769154e-06","0.01535782397","0.00095","dn/ds","0.608577440407029","PolyDFE.input","0.0088758928733357","0.00374399004666594","0.421815596480818","dnds","0.263028080175633","0.608577440407029","615","9.13668391229367e-09","0.608577440407029","242864.176941509"
