"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","MutationRate","dnds","Ne"
"avgConnec1","avgConnec","avgConnec1_0.147619751117733_PolyDFE.output","0.147619751117733","0.521602356984065","0.232674311707419","0.120837376345997","0.124743448872519","0.000100774990197783","4.17310998022113e-05","0.29470600903","-494.82484561","0.00014250609","0.81424068779","1.55211186703315e-05","0.00603718023","0.00033","Connectivity","0.13920236837239","PolyDFE.input","0.0125376688394133","0.00266253143569048","0.212362558765356","avgConnec","0.0223242291389888","0.147619751117733","652","1.17522463902832e-08","0.241802181959471","266707.921682518"
"avgConnec10","avgConnec","avgConnec10_0.361301743290992_PolyDFE.output","0.361301743290992","0.601820096019189","0.185721023706636","0.0995346787534676","0.112722734200708","0.00016648902551275","3.49782944872867e-05","0.27505838912","-1119.6864062","0.00020146732","0.57113501684","5.61933347415901e-06","0.01582614327","7e-05","Connectivity","0.318973331899846","PolyDFE.input","0.0118596111244723","0.001991581878086","0.16792977924684","avgConnec","0.00469443682586158","0.361301743290992","571","1.02450954377399e-08","0.188538790470997","289397.282742361"
"avgConnec11","avgConnec","avgConnec11_0.376936854461917_PolyDFE.output","0.376936854461917","0.624606306376193","0.180871668739614","0.0921384904126912","0.093877138341502","0.00106381664948263","0.00744257948051741","0.2972135514","-1187.9077713","0.00850639613","7.48498101459","0.330714900378572","0.00011712735","0.00011","Connectivity","0.332942860864948","PolyDFE.input","0.0111308826031561","0.00207208774280378","0.186156643338978","avgConnec","0.00433399435536298","0.376936854461917","552","1.00396720831503e-08","0.188140935581712","277172.464174333"
"avgConnec12","avgConnec","avgConnec12_0.392912106855347_PolyDFE.output","0.392912106855347","0.588762785513855","0.200151345803775","0.103402089257939","0.107652825554432","3.09247802362522e-05","2.90897637089671e-08","0.29267259398","-855.49837046","3.095387e-05","0.14347476151","0","0.00998531734","9e-05","Connectivity","0.346281757496599","PolyDFE.input","0.0116677139342822","0.00196344078939805","0.168279819033705","avgConnec","0.00464557202570236","0.392912106855347","530","9.96325519344387e-09","0.179348490391977","292768.620991459"
"avgConnec13","avgConnec","avgConnec13_0.409913673553027_PolyDFE.output","0.409913673553027","0.611006282422883","0.196467121973289","0.0942107745839158","0.0844943870099123","0.00605347497974718","0.00776795903025285","0.32566892094","-868.82616115","0.01382143401","1.73546898898","0.0433915548509454","4.376505e-05","9e-05","Connectivity","0.359523766470903","PolyDFE.input","0.0110088464504719","0.00203934948494978","0.185246428326953","avgConnec","0.0053606697777761","0.40993152270993","536","9.86670812603649e-09","0.171037858245047","278939.194051498"
"avgConnec14","avgConnec","avgConnec14_0.429390011798999_PolyDFE.output","0.429390011798999","0.636307078581868","0.182219692128864","0.0913269819326278","0.0900194231566399","0.000103465473258679","2.33587267413071e-05","0.30440696764","-1184.8217642","0.0001268242","0.59107550755","4.67348519835285e-06","0.01093619677","1e-04","Connectivity","0.371474601806286","PolyDFE.input","0.0116839619466445","0.0019406392672045","0.166094281722804","avgConnec","0.00591912433605474","0.429409790621647","501","9.74324079114498e-09","0.165348310396541","299796.602514005"
"avgConnec15","avgConnec","avgConnec15_0.459078728705374_PolyDFE.output","0.459078728705374","0.609224681052094","0.193512965946738","0.097227077630284","0.0958562727908839","0.0003058047017378","0.00387319787826224","0.30441614797","-950.86115328","0.00417900258","13.1592608962","0.329904159652528","0.00207895867","0.0016","Connectivity","0.382722690486263","PolyDFE.input","0.0109493162504863","0.00208516704561326","0.190438105714652","avgConnec","0.0140418621719842","0.459078728705374","535","9.71571792693288e-09","0.174771901830888","281742.335791103"
"avgConnec2","avgConnec","avgConnec2_0.195103763918524_PolyDFE.output","0.195103763918524","0.556748597031042","0.202052193990878","0.110638629856165","0.130328194241915","0.000148873495984136","8.35113840158552e-05","0.26719325914","-802.04788841","0.00023238488","0.97712357835","6.45276739504871e-05","0.00685746314","0.00073","Connectivity","0.182111655172243","PolyDFE.input","0.0126631546180668","0.00261619595214884","0.20659906879888","avgConnec","0.00944395017884746","0.195103763918524","670","1.18068445650535e-08","0.234181456498605","268131.64491781"
"avgConnec3","avgConnec","avgConnec3_0.224641311434365_PolyDFE.output","0.224641311434365","0.55976871375937","0.233843945530004","0.110849449492084","0.0954307399885419","9.05810876274948e-05","1.65701423725517e-05","0.33540439405","-517.80911528","0.00010715123","0.53572228974","3.04817838417619e-06","0.01295533571","8e-05","Connectivity","0.206915601778174","PolyDFE.input","0.0133782605419255","0.00247362583896051","0.184898913517832","avgConnec","0.00766796400853762","0.224641311434365","672","1.12470238095238e-08","0.200359466730052","297373.348907578"
"avgConnec4","avgConnec","avgConnec4_0.248987592858788_PolyDFE.output","0.248987592858788","0.58882466458432","0.208907031111962","0.10074323918767","0.0908316571160479","0.00121962821062405","0.00947377978937591","0.32453339078","-718.81887285","0.010693408","8.25767129853","0.413171036256312","1.912251e-05","1e-04","Connectivity","0.227773782923063","PolyDFE.input","0.0129283096978697","0.00227041716741573","0.175615932822978","avgConnec","0.00647217725374177","0.248987592858788","669","1.08969666772358e-08","0.204097726023129","296603.405351268"
"avgConnec5","avgConnec","avgConnec5_0.269824012961192_PolyDFE.output","0.269824012961192","0.598726813922707","0.202409759174948","0.0998118776358613","0.0943923092164841","0.000519993603878666","0.00413924644612129","0.31368142906","-813.90090614","0.00465924005","8.45032798238","0.246409502612914","0.00040668212","0.00155","Connectivity","0.246114415233842","PolyDFE.input","0.0126594714248668","0.00228209182675533","0.18026754436782","avgConnec","0.00541365233692785","0.269824012961192","631","1.10851142166514e-08","0.199803157103495","285506.111561992"
