"Factor","GroupingCategory","Filename","GroupValue","<-100","-100 to -10","-10 to -1","-1 to 0","0 to 1",">1","b","S_d","p_b","S_b","alpha","eps_an","criteria","pretty_names","Variable","source","pi4","pi0","pi04","GroupingVariable","SD","FactorMean","NumGenes","MutationRate","dnds","Ne"
"dnds2","dnds","dnds2_0.0610906616898973_PolyDFE.output","0.0610906616898973","0.742967129050394","0.156410782571164","0.0613394558744355","0.0388837130640063","0.000227641550819224","0.00017127788918081","0.41151899554","-1471.2451337","0.00039891944","1.18277104074","0.000838760870545111","0.00414121861","8e-05","dn/ds","0.0392488226892314","PolyDFE.input","0.0136163956724793","0.000824011771661415","0.0605161447626599","dnds","0.00788775023979398","0.0610906616898973","833","1.17066099166939e-08","0.0610906616898973","290784.346821491"
"dnds3","dnds","dnds3_0.0867221354202197_PolyDFE.output","0.0867221354202197","0.689349730436023","0.187255315865667","0.0741965462061253","0.047357172202185","0.000136821471700466","0.00170441381829955","0.40988166504","-932.38769272","0.00184123529","12.9507761122","0.292396022799286","0.0046300199","0.00231","dn/ds","0.0542070430465835","PolyDFE.input","0.012635165080991","0.000964670453241955","0.0763480688268376","dnds","0.00658108847521952","0.0867221354202197","800","1.14111111111111e-08","0.0867221354202197","276817.151238848"
"dnds4","dnds","dnds4_0.110124475044541_PolyDFE.output","0.110124475044541","0.663409525610371","0.181559440713124","0.0838169029280377","0.0703933399784675","2.81961083591353e-05","0.000792594661640833","0.34087801591","-1142.2978848","0.00082079077","28.6071599417","0.232740342547214","0.00179547532","0.00072","dn/ds","0.0676672644782277","PolyDFE.input","0.013786180436768","0.0012774417743854","0.0926610369162467","dnds","0.00736482566418946","0.110124475044541","855","1.10067458207809e-08","0.110124475044541","313130.253510977"
"dnds5","dnds","dnds5_0.136185041585501_PolyDFE.output","0.136185041585501","0.626659497206343","0.1926219146043","0.0932885193927467","0.0855312819466101","0.000138945906632659","0.00175984094336734","0.3206053348","-966.11491394","0.00189878685","13.1593231528","0.202093877947256","0.00057456541","0.00284","dn/ds","0.0810549306493165","PolyDFE.input","0.0135542547300259","0.00133258583866609","0.0983149472404481","dnds","0.0073596996195117","0.136185041585501","862","1.08273570976587e-08","0.136185041585501","312963.140676242"
"dnds6","dnds","dnds6_0.162831279747798_PolyDFE.output","0.162831279747798","0.579695836832928","0.221298691259848","0.104656449304015","0.0903332520832092","0.000502976162841451","0.00351279435715857","0.33470045569","-610.9773034","0.00401577052","7.47286944348","0.200752669411215","0.004300016","0.00202","dn/ds","0.0924462970229913","PolyDFE.input","0.0135241588814879","0.00149304202402688","0.110398142842774","dnds","0.00792605722909197","0.162831279747798","867","1.075987091212e-08","0.162831279747798","314226.792122902"
"dnds7","dnds","dnds7_0.194162645836612_PolyDFE.output","0.194162645836612","0.56670242708269","0.209898084971477","0.102574778805705","0.0947005452401283","0.00925295163384476","0.0168712122661553","0.31917007777","-670.48210186","0.0261241639","2.28701094155","0.124863149439563","0.00549580562","6e-05","dn/ds","0.103536976965101","PolyDFE.input","0.0123058984544377","0.00147785987885773","0.120093618871428","dnds","0.0102870629335585","0.194162645836612","898","1.0714989539043e-08","0.194162645836612","287118.769682362"
"dnds8","dnds","dnds8_0.234734947306929_PolyDFE.output","0.234734947306929","0.522140052061807","0.212859652962865","0.118640483126476","0.144404571628852","0.000179638874508448","0.0017756013454916","0.26078062593","-635.63276062","0.00195524022","10.3762523716","0.108272325917311","0.00716411641","0.00108","dn/ds","0.116366842245104","PolyDFE.input","0.0124916201908076","0.00176056193739109","0.140939438639567","dnds","0.0140665584075253","0.234734947306929","950","1.04960659223817e-08","0.234734947306929","297531.005502037"
"dnds9","dnds","dnds9_0.298424278546184_PolyDFE.output","0.298424278546184","0.441283178847214","0.237673888574467","0.138459744023275","0.182432508025043","0.000129926218020882","2.07543119791209e-05","0.24576824763","-370.20748328","0.00015068053","0.50443706146","2.04531803000214e-06","0.01376541742","9e-05","dn/ds","0.129750346026819","PolyDFE.input","0.0111905730366687","0.00164296483205434","0.146816863325118","dnds","0.0240126673243327","0.298424278546184","988","9.82290516501042e-09","0.298424278546184","284808.130809659"
"MeanSIFT1","MeanSIFT","MeanSIFT1_0.45197251078145_PolyDFE.output","0.45197251078145","0.717268624503157","0.156191366829574","0.0658917781976512","0.0473195124496185","0.00194154013528336","0.0113871778847167","0.37911024456","-1561.4711639","0.01332871802","6.3519091741","0.494126454832477","0.00017837664","0.00053","SIFT score","0.442864103534998","PolyDFE.input","0.0125637158621892","0.00144819819598687","0.115268302138642","MeanSIFT","0.0128653302556236","0.45199202819753","672","1.05313101250601e-08","0.144697453662628","298246.745015439"
"MeanSIFT10","MeanSIFT","MeanSIFT10_0.530762334994533_PolyDFE.output","0.530762334994533","0.611934064070921","0.17481746586342","0.0961771546141982","0.115836946451461","0.000636950215341159","0.000597418784658799","0.26266935523","-1407.3055312","0.001234369","1.3779858856","0.00172121810535299","0.00512083701","0.00084","SIFT score","0.492444306514699","PolyDFE.input","0.011992174347464","0.00206898978699215","0.172528327811518","MeanSIFT","0.00867165381261792","0.530762334994533","712","1.13466263761208e-08","0.251307300607721","264223.345996078"
